,,,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,,,,Perf,Perf,Perf,Pena,Pena,Pena,Pena
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
,,,,,,,,,,,,,,,,,,,,,,,,
Adrián\f76e6b4e,es ESP,GK,eng Liverpool,33,1987,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Alisson\7a2e46a8,br BRA,GK,eng Liverpool,27,1992,7,7,630,7.0,5,0.71,23,18,78.3,4,1,2,5,71.4,0,0,0,0,
Mikkel Andersen\63e905bc,dk DEN,GK,dk Midtjylland,31,1988,2,2,180,2.0,4,2.00,5,2,40.0,0,0,2,0,0.0,1,1,0,0,0.0
Kepa Arrizabalaga\28d596a0,es ESP,GK,eng Chelsea,25,1994,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Yassine Bounou\f6798fc3,ma MAR,GK,es Sevilla,29,1991,5,5,450,5.0,6,1.20,20,16,80.0,2,2,1,2,40.0,3,2,1,0,33.3
Denys Boyko\1e064bfb,ua UKR,GK,ua Dynamo Kyiv,32,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
Gianluigi Buffon\e40d028b,it ITA,GK,it Juventus,42,1978,1,1,90,1.0,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,
Roman Bürki\9d12e142,ch SUI,GK,de Dortmund,29,1990,4,4,360,4.0,1,0.25,9,9,100.0,3,1,0,3,75.0,1,1,0,0,0.0
Heorhiy Bushchan\eb2b33aa,ua UKR,GK,ua Dynamo Kyiv,26,1994,4,4,360,4.0,9,2.25,21,13,61.9,1,0,3,1,25.0,1,1,0,0,0.0
Diogo Costa\93fffbcf,pt POR,GK,pt Porto,20,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Thibaut Courtois\1840e36d,be BEL,GK,es Real Madrid,28,1992,12,12,1080,12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,
Dénes Dibusz\4030c7ae,hu HUN,GK,hu Ferencváros,29,1990,6,6,540,6.0,17,2.83,33,20,57.6,0,1,5,0,0.0,3,3,0,0,0.0
Ederson\3bb7b8b4,br BRA,GK,eng Manchester City,26,1993,12,12,1080,12.0,5,0.42,22,16,77.3,10,1,1,7,58.3,0,0,0,0,
David de Gea\7ba6d84e,es ESP,GK,eng Manchester Utd,29,1990,5,5,450,5.0,8,1.60,20,13,60.0,3,0,2,1,20.0,0,0,0,0,
Pierluigi Gollini\f0f7f62f,it ITA,GK,it Atalanta,25,1995,3,3,270,3.0,1,0.33,6,5,83.3,2,0,1,2,66.7,0,0,0,0,
Alfred Gomis\cecbce23,sn SEN,GK,fr Rennes,26,1993,4,4,360,4.0,7,1.75,17,12,70.6,0,1,3,0,0.0,2,2,0,0,0.0
Yevgeni Gorodov\8b3d765f,ru RUS,GK,ru Krasnodar,34,1985,2,2,180,2.0,3,1.50,12,10,83.3,0,1,1,0,0.0,1,1,0,0,0.0
Péter Gulácsi\bcb2ccd8,hu HUN,GK,de RB Leipzig,30,1990,8,8,720,8.0,16,2.00,33,21,60.6,4,0,4,1,12.5,4,3,1,0,25.0
Mert Günok\b583aef5,tr TUR,GK,tr Başakşehir,31,1989,6,6,540,6.0,18,3.00,35,19,54.3,1,0,5,0,0.0,2,2,0,0,0.0
Samir Handanović\74419746,si SVN,GK,it Inter,36,1984,6,6,540,6.0,9,1.50,21,15,66.7,1,3,2,2,33.3,2,2,0,0,0.0
Jesper Hansen\a3b952f8,dk DEN,GK,dk Midtjylland,35,1985,4,4,360,4.0,9,2.25,30,20,70.0,0,2,2,0,0.0,0,0,0,0,
Dean Henderson\e5a76dfe,eng ENG,GK,eng Manchester Utd,23,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Marwin Hitz\2e7ff968,ch SUI,GK,de Dortmund,32,1987,6,6,540,6.0,12,2.00,29,20,65.5,2,1,3,0,0.0,2,2,0,0,0.0
Ethan Horvath\3f65d5ce,us USA,GK,be Club Brugge,25,1995,1,1,90,1.0,1,1.00,3,3,66.7,1,0,0,0,0.0,0,0,0,0,
Caoimhín Kelleher\62d7ef38,ie IRL,GK,eng Liverpool,21,1998,2,2,180,2.0,1,0.50,9,9,100.0,1,1,0,1,50.0,1,1,0,0,0.0
Mikhail Kerzhakov\2fabebc0,ru RUS,GK,ru Zenit,33,1987,6,6,540,6.0,13,2.17,26,16,61.5,0,1,5,0,0.0,3,3,0,0,0.0
Steve Mandanda\1d2d5cc8,fr FRA,GK,fr Marseille,35,1985,6,6,540,6.0,13,2.17,26,16,57.7,1,0,5,0,0.0,2,2,0,0,0.0
Agustín Marchesín\853b7c48,ar ARG,GK,pt Porto,32,1988,9,9,840,9.3,9,0.96,35,26,77.1,5,1,3,5,55.6,2,1,0,1,0.0
Guilherme Marinato\a3b0ed18,ru RUS,GK,ru Loko Moscow,34,1985,6,6,540,6.0,11,1.83,33,23,66.7,0,3,3,1,16.7,0,0,0,0,
Edouard Mendy\33887998,sn SEN,GK,eng Chelsea,28,1992,12,12,1080,12.0,3,0.25,33,30,90.9,9,2,1,9,75.0,0,0,0,0,
Simon Mignolet\d436eb94,be BEL,GK,be Club Brugge,32,1988,5,5,450,5.0,9,1.80,24,16,66.7,1,2,2,1,20.0,1,1,0,0,0.0
Keylor Navas\ecada4fc,cr CRC,GK,fr Paris S-G,33,1986,12,12,1080,12.0,15,1.25,65,52,81.5,6,1,5,2,16.7,4,3,1,0,25.0
Ruslan Neshcheret\0880e10b,ua UKR,GK,ua Dynamo Kyiv,18,2002,1,1,90,1.0,2,2.00,13,12,92.3,0,0,1,0,0.0,1,1,0,0,0.0
Neto\a9dc785c,br BRA,GK,es Barcelona,31,1989,3,3,270,3.0,2,0.67,3,3,66.7,3,0,0,2,66.7,1,1,0,0,0.0
Manuel Neuer\8778c910,de GER,GK,de Bayern Munich,34,1986,8,8,720,8.0,8,1.00,43,35,81.4,7,0,1,3,37.5,0,0,0,0,
Alexander Nübel\afb0c500,de GER,GK,de Bayern Munich,23,1996,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,
Jan Oblak\ee8508c0,si SVN,GK,es Atlético Madrid,27,1993,8,8,720,8.0,11,1.37,22,14,59.1,2,3,3,2,25.0,2,2,0,0,0.0
André Onana\e9c0c1b2,cm CMR,GK,nl Ajax,24,1996,6,6,540,6.0,7,1.17,27,22,77.8,2,1,3,0,0.0,1,1,0,0,0.0
Alfonso Pastor\14e05913,es ESP,GK,es Sevilla,19,2000,1,1,90,1.0,4,4.00,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0
Andriy Pyatov\34c3b935,ua UKR,GK,ua Shakhtar,36,1984,1,1,90,1.0,4,4.00,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0
Pepe Reina\e358587b,es ESP,GK,it Lazio,37,1982,7,7,630,7.0,12,1.71,26,17,61.5,1,4,2,0,0.0,2,2,0,0,0.0
José Sá\903b6e8b,pt POR,GK,gr Olympiacos,27,1993,6,6,540,6.0,10,1.67,31,24,77.4,1,0,5,1,16.7,3,3,0,0,0.0
Matvei Safonov\d97b252e,ru RUS,GK,ru Krasnodar,21,1999,4,4,360,4.0,8,2.00,28,21,78.6,1,1,2,1,25.0,3,2,0,1,0.0
Romain Salin\74733221,fr FRA,GK,fr Rennes,36,1984,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
Yann Sommer\420c18a1,ch SUI,GK,de M'Gladbach,31,1988,8,8,720,8.0,13,1.62,35,21,62.9,2,2,4,2,25.0,0,0,0,0,
Marco Sportiello\ac4003af,it ITA,GK,it Atalanta,28,1992,5,5,450,5.0,11,2.20,29,20,69.0,1,2,2,1,20.0,2,2,0,0,0.0
Cican Stankovic\27d902c8,at AUT,GK,at RB Salzburg,27,1992,6,6,540,6.0,17,2.83,30,16,50.0,1,1,4,0,0.0,2,2,0,0,0.0
Zack Steffen\42130443,us USA,GK,eng Manchester City,25,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Thomas Strakosha\339fe0e8,al ALB,GK,it Lazio,25,1995,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
Wojciech Szczęsny\01b8a2b2,pl POL,GK,it Juventus,30,1990,7,7,660,7.3,8,1.09,26,20,76.9,5,0,2,2,28.6,2,2,0,0,0.0
Marc-André ter Stegen\6f51e382,de GER,GK,es Barcelona,28,1992,5,5,450,5.0,9,1.80,22,16,72.7,2,1,2,1,20.0,3,3,0,0,0.0
Anatolii Trubin\41f0b196,ua UKR,GK,ua Shakhtar,18,2001,5,5,450,5.0,8,1.60,31,23,74.2,2,2,1,3,60.0,0,0,0,0,
Tomáš Vaclík\7b456af7,cz CZE,GK,es Sevilla,31,1989,2,2,180,2.0,3,1.50,5,3,60.0,2,0,0,0,0.0,1,1,0,0,0.0